Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
1,1,197126,27602,21527,19139,3089
1,2,161446,27307,21655,16374,3024
1,3,123456,21496,16179,11903,2104
1,4,102514,23314,27728,20161,1702
1,5,124463,22606,21988,15797,1651
1,6,113106,20316,21003,14236,1884
1,7,121082,20249,20215,14158,1840
1,8,143134,32086,19168,10759,1339
1,9,127540,25390,17921,11902,2260
1,10,208398,37795,26531,16731,2089
1,11,184492,31427,23539,16781,2663
1,12,180161,26102,22650,18904,4298
1,13,135152,22661,19481,16209,1850
1,14,110625,18885,16604,13418,1862
1,15,98475,21694,16771,10896,1300
1,16,98681,25389,23869,13920,1429
1,17,85457,22174,21926,14085,1537
1,18,94867,23577,19778,12310,1375
1,19,93874,20054,14493,9976,577
1,20,94415,19928,15453,10208,2058
1,21,125207,30256,23583,14579,2904
1,22,117015,26416,21724,14260,1837
1,23,130214,30068,22724,14043,2025
1,24,144929,37368,25906,17101,1869
1,25,139303,49931,49612,30655,2709
1,26,141508,23184,20770,17340,2567
1,27,102101,17722,17045,14417,2097
1,28,309671,125581,49683,18672,2136
1,29,196685,69163,36397,16926,1846
1,30,756929,414102,134142,30268,1556
1,31,237366,63427,25575,14556,1671
1,32,78984,20745,17631,12650,2056
1,33,678181,256063,70830,19048,1978
1,34,114792,26143,15562,10562,1841
1,35,142103,29739,17959,13158,2782
1,36,129257,26460,19510,13962,3737
1,37,1724737,4069305,4086090,1191274,3770
1,38,183675,257107,261687,95976,2197
1,39,110117,30868,25699,16893,1941
1,40,80866,22222,20503,15348,1108
1,41,105082,26628,20776,14423,1923
1,42,87385,21181,15853,14390,1654
1,43,82544,19289,16335,14629,1520
1,44,93739,21698,16327,12998,1700
1,45,90855,23689,17761,12975,1884
1,46,114005,25299,17984,13436,2077
1,47,123152,28424,20204,14364,2271
1,48,124571,27340,19289,14236,1763
1,49,102423,27844,30522,22070,2099
1,50,98299,18357,18542,15973,1894
1,51,74937,17603,15967,12223,1784
1,52,61735,18521,19757,14570,1175
1,53,81234,29757,25477,15442,1646
1,54,76384,19583,14845,12901,1850
1,55,72841,21093,20440,14220,1633
1,56,86390,22397,19807,14477,2217
1,57,76221,20955,18565,13638,2446
1,58,85226,21411,16006,11720,1336
1,59,121143,31805,22856,15175,1496
1,60,124056,35770,21029,13591,1480
1,61,108103,21145,17421,14498,2529
1,62,88388,20052,16042,14213,1971
1,63,74726,19472,16848,15723,2256
1,64,85450,21316,16407,14556,2987
1,65,140415,51817,33375,21789,2076
1,66,123671,37683,22258,15913,2279
1,67,81154,20577,15844,14179,1697
1,68,115135,43646,25975,17984,1862
1,69,73177,19655,18866,19856,2984
1,70,93969,37836,26093,19357,1830
1,71,123688,34994,20672,14569,1499
1,72,79483,17653,16087,14025,1671
1,73,127257,28382,18705,13377,2021
1,74,113787,34195,20851,15208,946
1,75,107575,15600,12295,12161,1650
1,76,87951,20363,19364,15427,1538
