Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
1,1,160563,26900,26236,26458,3584
1,2,149365,20551,18331,18020,2948
1,3,162439,36331,20492,16563,2206
1,4,73180,18679,27481,22491,1658
1,5,94953,20933,20843,15077,1317
1,6,77310,14575,17885,13706,1023
1,7,91026,16561,20307,15710,1221
1,8,109781,25962,25297,18915,1327
1,9,141878,23703,22182,20244,2596
1,10,206180,31258,17291,13110,1425
1,11,133776,18930,18314,17402,2166
1,12,305980,45323,36532,34694,8411
1,13,106145,16662,15710,14891,2105
1,14,96201,15899,14981,13329,1818
1,15,100550,20859,18837,15289,1975
1,16,75080,14692,13257,10769,717
1,17,69407,13132,13682,12286,870
1,18,72499,14173,11876,9222,1165
1,19,65418,13019,12129,9333,179
1,20,70712,12635,12873,10439,1148
1,21,106734,20204,22193,22856,5008
1,22,81873,15465,18121,15252,1259
1,23,97074,16726,19368,15719,1342
1,24,105542,22233,19199,15315,332
1,25,155449,115074,102232,43547,1678
1,26,130448,21262,17204,14718,2230
1,27,78760,14183,13880,13160,1257
1,28,402970,173080,68600,21722,1380
1,29,84460,19312,15144,13304,1058
1,30,845493,409579,97706,20911,1055
1,31,231753,57620,21670,12883,1480
1,32,61817,11924,9545,9578,1448
1,33,943927,401505,83684,17000,1141
1,34,76099,14371,10704,9581,1372
1,35,93394,14173,11365,9908,1581
1,36,107459,14376,10927,10792,2846
1,37,2453059,4919207,4075251,1020818,2750
1,38,235455,327234,322373,115673,3137
1,39,197436,64823,38058,20708,1532
1,40,65206,16241,15629,14472,905
1,41,64837,14728,14600,14477,1039
1,42,57228,13236,13558,13434,987
1,43,80725,16776,14889,14966,1770
1,44,60253,13218,13890,13146,1063
1,45,4335482,2108493,788206,141331,6039
1,46,74902,15016,16395,13940,1110
1,47,96362,17973,18121,15486,2010
1,48,98908,17494,17715,15561,1847
1,49,91491,37069,39572,26023,1297
1,50,94257,17336,17065,15845,2735
1,51,58823,12689,13765,12582,842
1,52,58732,14269,12449,12136,863
1,53,58239,11742,11340,11620,1375
1,54,54343,11226,10609,10889,825
1,55,51591,10745,10002,10089,486
1,56,59435,11380,10565,10790,1611
1,57,76228,14717,13404,14257,2648
1,58,58345,10600,9999,10493,1144
1,59,70835,14498,13241,11375,600
1,60,77498,12224,10611,11119,1545
1,61,134755,24806,20733,20223,3190
1,62,74582,21165,20113,17904,2512
1,63,64445,17082,16056,14899,1945
1,64,128584,34229,25623,23813,4889
1,65,138228,47115,27336,18555,1445
1,66,102962,31715,22551,19271,3482
1,67,156764,57278,27323,17872,1527
1,68,104460,35316,23981,18067,1675
1,69,72969,20210,19427,19871,2083
1,70,197849,81819,40561,23250,1746
1,71,90630,25287,16507,14590,739
1,72,65878,16443,16428,15900,882
1,73,103329,19418,16621,15126,1583
1,74,83474,16523,15776,16082,1741
1,75,76976,12865,11661,13123,1854
1,76,67160,15974,16490,15557,1566
1,77,82401,14245,13096,13471,1975
1,78,66159,12738,12689,12893,1621
1,79,279590,87615,33449,16572,1676
1,80,104075,20413,17847,15128,1523
1,81,65473,14818,17457,16607,1091
1,82,110924,30389,22157,17087,1350
1,83,76960,14696,14462,14152,949
1,84,79175,15503,15866,14424,1298
1,85,77296,21371,20598,16642,731
1,86,78335,10877,9148,10865,59
1,87,65850,10859,8806,10117,1725
1,88,61476,14336,13844,12877,1277
1,89,87847,13504,12022,12470,1732
1,90,76024,14091,11159,11351,2001
