Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
1,1,161349,26841,21636,19914,3666
1,2,155048,26872,22867,20839,3428
1,3,106090,21830,19500,17598,3446
1,4,4306346,3142305,1492965,484900,1919
1,5,82570,27011,51904,41835,1887
1,6,88956,15716,16278,11515,1116
1,7,115102,14198,12422,8216,1484
1,8,109534,13469,11798,7375,970
1,9,133451,17572,13913,10441,2013
1,10,169315,19905,16093,13405,1896
1,11,189529,23711,17936,13923,2063
1,12,191327,23323,16663,13131,4324
1,13,131455,18549,12670,11839,2499
1,14,118387,17058,12464,10759,2241
1,15,101472,15238,10665,9289,1801
1,16,89479,15080,10576,8556,1792
1,17,83582,14318,11472,9815,1425
1,18,82464,13685,10551,9397,1341
1,19,83057,17382,13408,8851,507
1,20,95073,16944,12916,9792,2076
1,21,110500,19363,15253,12445,2283
1,22,108923,16910,13103,11109,2388
1,23,120099,17411,13774,11823,2052
1,24,119666,17272,13449,11931,1429
1,25,135341,16569,11735,12571,2304
1,26,173716,26682,16160,14306,2627
1,27,98998,14616,11379,10891,1516
1,28,89178,13748,11586,10646,1081
1,29,81398,14165,11808,11767,2117
1,30,69428,13847,11584,11384,870
1,31,59902,16816,16197,15806,2124
1,32,449862,703116,673760,220646,2512
1,33,182790,266557,281972,113332,2081
1,34,110144,94513,108619,54407,1727
1,35,119502,34067,34623,23538,2658
1,36,124545,20218,18417,15483,2867
1,37,100448,13528,11982,11609,2029
1,38,104100,15319,13466,13065,2389
1,39,88247,13458,12258,11282,1887
1,40,71312,12590,12132,11576,1020
1,41,78179,15926,13952,12599,1152
1,42,92922,14705,12024,13039,1977
1,43,75056,12635,11109,10520,1203
1,44,70959,12326,10475,10318,1844
1,45,63429,11797,10238,9209,1353
1,46,77531,14063,11536,10300,1507
1,47,105255,18265,14569,13036,2981
1,48,111282,16474,13147,11602,2455
1,49,97824,16833,13367,14059,2099
1,50,78989,14754,12388,12886,1582
1,51,59085,11626,9898,10362,970
1,52,65689,13127,11399,11182,1143
1,53,73946,13508,10900,11257,1866
1,54,73597,14641,12481,12388,1837
1,55,56905,14691,12948,10808,1012
1,56,67457,18070,15331,12182,1722
1,57,60029,12739,10916,10785,1581
1,58,64023,12432,11182,10104,987
1,59,73195,26393,17253,12498,1690
1,60,119979,53042,35032,16806,1626
1,61,101705,16733,13879,14565,1665
1,62,70531,13831,11938,12185,1951
1,63,76105,13176,11295,11514,1838
1,64,153795,68700,35469,17292,2694
1,65,57198,15817,15349,14114,1422
1,66,84773,14801,12488,12970,2239
1,67,63818,16054,14605,13164,1675
1,68,57115,16010,14578,13908,1874
1,69,72806,16675,16854,19367,2717
1,70,54952,16341,16002,14348,1499
1,71,78828,13898,13630,11950,1303
1,72,80481,14007,13529,11882,1315
1,73,89093,14277,12596,13625,2075
1,74,75444,22808,22751,24244,5703
1,75,58311,16131,16740,15884,1820
1,76,48263,15085,14843,13780,1566
1,77,72518,17930,18061,16937,2271
1,78,57318,16161,16086,15371,2182
1,79,62789,17320,16928,16032,1562
1,80,63714,15661,15528,13863,1813
1,81,52729,16159,17271,16213,1373
1,82,64515,16576,16039,15078,1627
1,83,66441,15520,14360,13722,1888
1,84,77916,16173,15254,13492,1490
1,85,67060,15027,46523,37237,1236
1,86,80519,12115,11303,11551,0
1,87,63877,11477,10001,10112,1193
1,88,65319,11663,9871,9891,1615
1,89,90083,14203,13625,12056,1671
1,90,77461,14851,13850,12007,1851
1,91,83249,22807,37513,32950,1823
1,92,86491,23033,19993,15275,1457
1,93,50535,13547,12220,10886,1279
1,94,70013,15957,17469,15121,1061
1,95,70780,17090,18558,15452,1069
1,96,86119,16321,15910,14627,1955
2,1,162074,26011,21632,19892,3263
2,2,156257,26446,22717,20754,3398
2,3,105379,21145,18860,16617,3308
2,4,4300859,3158512,1507898,491473,2285
2,5,83600,26890,51461,41506,1890
2,6,88819,15701,16277,11274,1169
2,7,115322,14315,12326,7993,1698
2,8,109419,13505,11511,7647,210
2,9,131564,17340,14016,10662,1845
2,10,168146,19875,15729,12852,1820
2,11,190140,23579,18075,14304,2859
2,12,191194,23222,16539,13048,4357
2,13,133099,18296,12472,11907,2273
2,14,118942,16864,12057,10883,1755
2,15,102132,14843,10771,9762,1697
