Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
1,1,191486,29603,23585,21592,3776
1,2,180614,28759,23932,21118,3443
1,3,110167,23602,21446,18041,3632
1,4,1746663,1750316,1242422,485596,2412
1,5,108154,30210,44447,33981,1889
1,6,109997,17357,15842,11650,1863
1,7,126469,15208,11766,8828,2038
1,8,116132,13615,10388,7099,970
1,9,113808,15535,12774,10505,1836
1,10,172289,19803,15089,12656,2587
1,11,196790,22872,16942,14345,3061
1,12,184063,23214,16583,14263,4016
1,13,150012,20557,13755,13231,2323
1,14,128290,18556,13252,11170,2123
1,15,107503,15118,10729,9330,1389
1,16,105063,15903,11972,9065,1238
1,17,91548,14650,11415,9091,1555
1,18,85665,15403,12527,9419,3964
1,19,89197,18276,13470,8708,668
1,20,98553,18185,13342,9981,1586
1,21,107884,20027,15970,12528,2904
1,22,103320,17524,14310,11811,1972
1,23,118195,17885,14405,12224,2026
1,24,122984,17027,13212,11267,1067
1,25,150582,18876,13332,13015,2455
1,26,151705,18188,13054,11732,2448
1,27,107941,15337,11419,11554,1779
1,28,100377,15437,11633,12092,2009
1,29,91487,14428,11138,11347,2048
1,30,79551,14576,10728,11045,1534
1,31,66446,17067,15691,15509,2195
1,32,1251419,1904722,1554606,409174,2344
1,33,1067118,1776994,1463224,391623,2386
1,34,512014,886004,786906,236411,2166
1,35,150611,122112,110158,48398,2565
1,36,114275,42764,37724,22588,3756
1,37,106709,15696,13238,11184,2046
1,38,106353,16287,13601,11643,2360
1,39,91391,14355,12526,11422,1630
1,40,82112,14177,12343,12334,1108
1,41,99714,24830,15841,12623,1434
1,42,90450,14345,11366,12369,2006
1,43,82089,13358,10828,11138,1605
1,44,75785,12619,10255,9898,1206
1,45,66583,12192,9578,9312,1100
1,46,88557,14796,11496,10544,2080
1,47,110776,19811,15139,12722,2678
1,48,90416,14366,11410,9182,1314
1,49,96541,17552,13531,11314,1933
1,50,91941,15875,12708,11701,2051
1,51,67853,13519,10779,9815,1727
1,52,64969,12854,10796,10044,1281
1,53,83641,17602,13604,11802,1852
1,54,76158,15650,12782,11977,1683
1,55,71703,13698,10724,10932,1412
1,56,72568,14947,12466,12110,2297
1,57,88594,21020,15641,13570,2698
1,58,67884,13351,11597,10634,987
1,59,57201,11615,8530,10199,1255
1,60,107300,31402,19833,11763,1445
1,61,124169,18880,14825,12628,2126
1,62,88806,15169,12087,10576,1893
1,63,88171,14597,11079,10179,1793
1,64,509299,226026,69731,21083,2574
