Columntemperature,Offset_temperature,Filter,Columnwell,Wellnumbers,Increment
0,23.0,3,1,97,1.0
Well Number,Calculated_Th,Peak_2/Warning,User_Input
Well 1,67.3,,
Well 2,64.4,,
Well 3,65.1,,
Well 4,60.7,,
Well 5,58.5,,
Well 6,63.7,,
Well 7,60.1,,
Well 8,68.1,,
Well 9,68.5,,
Well 10,67.3,,
Well 11,67.7,,
Well 12,66.9,,
Well 13,65.4,,
Well 14,64.8,,
Well 15,69.5,,
Well 16,68.3,,
Well 17,74.1,,
Well 18,71.5,,
Well 19,70.7,,
Well 20,65.5,,
Well 21,62.7,,
Well 22,64.4,,
Well 23,63.6,,
Well 24,48.1,,
Well 25,50.0,,
Well 26,59.8,,
Well 27,64.7,,
Well 28,67.2,,
Well 29,68.4,,
Well 30,68.2,,
Well 31,68.0,,
Well 32,68.2,,
Well 33,67.7,,
Well 34,67.9,,
Well 35,67.7,,
Well 36,66.7,,
Well 37,27.1,,
Well 38,47.4,,
Well 39,59.4,,
Well 40,65.8,,
Well 41,68.1,,
Well 42,68.6,,
Well 43,68.1,,
Well 44,68.5,,
Well 45,68.5,,
Well 46,68.6,,
Well 47,69.0,,
Well 48,68.1,,
Well 49,56.4,,
Well 50,63.6,,
Well 51,65.5,,
Well 52,66.4,,
Well 53,66.5,,
Well 54,66.2,,
Well 55,66.0,,
Well 56,65.6,,
Well 57,67.3,,
Well 58,65.5,,
Well 59,65.4,,
Well 60,64.5,,
Well 61,67.5,,
Well 62,67.4,,
Well 63,67.3,,
Well 64,67.3,,
Well 65,67.2,,
Well 66,67.1,,
Well 67,67.5,,
Well 68,67.1,,
Well 69,67.3,,
Well 70,67.1,,
Well 71,67.2,,
Well 72,67.3,,
Well 73,67.9,,
Well 74,68.4,,
Well 75,70.5,,
Well 76,61.6,,
Well 77,68.1,,
Well 78,69.7,,
Well 79,68.1,,
Well 80,68.7,,
Well 81,69.8,,
Well 82,67.1,,
Well 83,67.2,,
Well 84,68.8,,
Well 85,57.7,,
Well 86,68.3,,
Well 87,70.1,,
Well 88,60.4,,
Well 89,67.7,,
Well 90,69.7,,
Well 91,64.4,,
Well 92,65.5,,
Well 93,66.9,,
Well 94,63.6,,
Well 95,66.0,,
Well 96,65.3,,
